<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
SBER,0,20170721,100239,163.210000000,500
SBER,0,20170721,100239,163.210000000,1450
SBER,0,20170721,100239,163.270000000,640
SBER,0,20170721,100239,163.270000000,360
SBER,0,20170721,100239,163.270000000,250
SBER,0,20170721,100239,163.280000000,360
SBER,0,20170721,100241,163.230000000,50
SBER,0,20170721,100241,163.230000000,300
SBER,0,20170721,100243,163.280000000,10
SBER,0,20170721,100246,163.270000000,10
SBER,0,20170721,100246,163.270000000,10
SBER,0,20170721,100246,163.230000000,1200
SBER,0,20170721,100246,163.230000000,300
SBER,0,20170721,100246,163.230000000,510
